line_number,speaker,timestamp,text,interviewee,is_interviewee,is_interviewer,role
1,D,,"So can you first tell us a little bit about yourself? Your name, your age, um, your job/occupation, and then what you tend to do in your free time to keep yourself busy, what you're interested in, what activities you're involved in.",Lauren,False,True,interviewer
2,Lauren,,"Um, I'm Lauren. I'm 19 years old. I'm a student at Yale, and what I do in my free time, I'm a member of the acapella group the New Blue, so I do a lot of just organization and management for them. I enjoy going on runs. I enjoy going on walks as well. Reading. And generally spending time outdoors.",Lauren,True,False,interviewee
3,D,,"Awesome. Um. So my first question for you is, um, do you use Canva and what kinds of circumstances have you used it for in the past?",Lauren,False,True,interviewer
4,Lauren,,"Um, I use it not often, but I have used it before. I've used it usually for flyers for events. So often those are events for New Blue or for other extracurriculars. We've also used it for—during New Blue Rush—we used it for our info packets on the members and also for like just general information, like packets and flyers for Rush. I'm trying to think of… I have used it for class, for presentations. I think that's it.",Lauren,True,False,interviewee
5,D,,"Awesome. Okay, do you have Canva Pro by any chance?",Lauren,False,True,interviewer
6,Lauren,,I do not. I don't think? I know—um.,Lauren,True,False,interviewee
7,D,,"And then, are you aware that Yale partners with Canva for a platform called Canva Campus where students get free Pro features?",Lauren,False,True,interviewer
8,Lauren,,I did not know that. No.,Lauren,True,False,interviewee
9,D,,"Are you aware of Canva’s education, um, specifically education features or plans?",Lauren,False,True,interviewer
10,Lauren,,No.,Lauren,True,False,interviewee
11,D,,"Um, great. Okay. Um, so what is the biggest value Canva provides for you currently? Why do you use Canva?",Lauren,False,True,interviewer
12,Lauren,,"Um. I guess it's just, like, easier to make flyers on it than it is on other websites. The designs are like pre-made. There's no need to like really download them. You just kind of edit them yourself. Also, it's just like, um, it was easy to share the site and like to share the flyers and like edit at the same time during Rush, which was necessary. Um. Yeah, I think also it's just, like, a matter of ease, 'cause like, you could make presentations and flyers on Google Slides, but um, usually those are like—you have to download a template and then put it in—whereas Canva has all of those kind of pre-made, which I think is nice.",Lauren,True,False,interviewee
13,D,,"Great. And then on the flip side, what are some reasons why maybe you would stop using Canva? Have you switched to other design tools before? If yes, which ones and why?",Lauren,False,True,interviewer
14,Lauren,,"I don't think I have, but I guess like the only reason I would stop using it is because I would no longer need it. Like, um… I don't have any—like, I wouldn't… If there was like a thing I had to design, I would probably just like immediately go to Canva to do it. The only reason I would see myself like stopping using it for like the things I've been using it for is like just because I won't need to use it.",Lauren,True,False,interviewee
15,D,,"Okay. And then along that same line, what do you find are some of your current pain points when using the Canva platform?",Lauren,False,True,interviewer
16,Lauren,,"Um… hmm. I think sometimes like editing it can be a little finicky. Like, like it's not always easy to edit sometimes—like editing certain things. Like, or the fact that you need Pro to do other things when you don't have it, which is like, I guess, on me for not getting it, but I don't want to buy it. And at least at the beginning, it was a learning curve to share it and like figure out where to locate shared documents or shared flyers when we were like collaborating on documents together.",Lauren,True,False,interviewee
17,D,,I see. So what are some changes or improvements that you think Canva could make to fit your needs better?,Lauren,False,True,interviewer
18,Lauren,,"I mean like… I can't think of any off the top of my head that aren't like fixable just by me myself. Like, like the sharing thing, it was like—I guess like just maybe organizationally making that easier to find on the homepage. But otherwise it's like literally just me not wanting to get Pro. And so… yeah.",Lauren,True,False,interviewee
19,D,,"Great. Okay. Um, and then you're a college student now, but have you used Canva in other educational periods of your life and has your interaction and engagement with Canva changed at all?",Lauren,False,True,interviewer
20,Lauren,,"Um, yes, I have. I used it in high school for similar purposes. Even outside of school, I was part of a committee that was doing like organizing donations, so I used it for that, like flyers and presentations. I've used it for both of those before, outside of college. But it hasn't really like—I don't think the way I've interacted with it has changed much.",Lauren,True,False,interviewee
21,D,,"Okay, cool. Um, are there any other kind of qualms you have, or maybe good things about Canva that you want to point out, or anything that you want to touch on that I haven't asked you about?",Lauren,False,True,interviewer
22,Lauren,,No.,Lauren,True,False,interviewee
23,D,,"Okay, great. Thank you so much, Lauren.",Lauren,False,True,interviewer
1,Danielle,,"Okay, tell us a bit about yourself.",Erin,False,True,interviewer
2,Erin,,"Yeah, I'm Erin. I am 22 years old. I just recently graduated from college, and right now I'm currently working as a research assistant and I'm also studying for an entrance exam for grad school.",Erin,True,False,interviewee
3,Danielle,,Do you currently use Canva?,Erin,False,True,interviewer
4,Erin,,"I'm currently not using Canva, but I have used it in the past.",Erin,True,False,interviewee
5,Danielle,,"And when you did use Canva, did you ever use the pro plan?",Erin,False,True,interviewer
6,Erin,,"I did not, no.",Erin,True,False,interviewee
7,Danielle,,"So, can you tell me about when and why you first started using Canva and what you mainly used it for?",Erin,False,True,interviewer
8,Erin,,"Yeah, I think I mainly started using Canva in college, and it was mostly to create flyers for club events and things of that sort. I also remember using Canva because they had presentation templates as well, so I used Canva for some projects.",Erin,True,False,interviewee
9,Danielle,,"And when did you stop using Canva, and what changed that led you to stop using it or use it less often?",Erin,False,True,interviewer
10,Erin,,"I stopped using Canva because I graduated from school, and so there's not really a need for me to be creating flyers or club materials anymore since I'm no longer involved with those organizations.",Erin,True,False,interviewee
11,Danielle,,"When you were using Canva in college, were you aware of the Canva Education platform and its features, as well as Canva for Campus and the partnerships with universities across the U.S.?",Erin,False,True,interviewer
12,Erin,,"I have not heard of those plans, no.",Erin,True,False,interviewee
13,Danielle,,Were there any particular challenges or frustrations that made Canva harder to use or less valuable for you?,Erin,False,True,interviewer
14,Erin,,I didn't find Canva to be particularly challenging to use. I found the usability of the website to be very easy and suited my needs when I needed to create a graphic quickly.,Erin,True,False,interviewee
15,Danielle,,"But if you were to point out any pain points, what would you bring up?",Erin,False,True,interviewer
16,Erin,,"I think one of the pain points was when I was looking for certain graphics or icons. You weren’t able to sort between the Pro icons and the free plan. So if there was a way to filter between those two for icons, that would be helpful when looking for graphics I could actually use.",Erin,True,False,interviewee
17,Danielle,,"And have you started using any other tools instead of Canva now that you’ve dropped off the platform? If yes, what do they offer that Canva didn’t?",Erin,False,True,interviewer
18,Erin,,I'm not using any graphic-making websites at the moment.,Erin,True,False,interviewee
19,Danielle,,"It could also be digital materials in general—presentations, resume-building websites, any platform.",Erin,False,True,interviewer
20,Erin,,"For my resume, I typically just use Word or Google Docs. I don’t need to be designing or adding icons, so there’s not a need for a site like Canva for that. As for presentations or projects, I haven't had to make anything that warrants a website like Canva. If I need to create a presentation, I typically use PowerPoint or Google Slides.",Erin,True,False,interviewee
21,Danielle,,And can you articulate why you fall back on those platforms now that you're out of college?,Erin,False,True,interviewer
22,Erin,,"I think it's mostly because it's built into what I typically use. I’m very comfortable with Google Drive because I've used it throughout my education. In college, we used Microsoft applications like Word, PowerPoint, and OneDrive, so I’m comfortable with those. Also, the people I work with on my research project use those applications too, so it's easy to collaborate since everyone already has institutional access.",Erin,True,False,interviewee
23,Danielle,,Cool. So what university did you graduate from?,Erin,False,True,interviewer
24,Erin,,I graduated from Emory.,Erin,True,False,interviewee
25,Danielle,,"And Emory is a Canva for Campus partner, I believe. Did you ever hear of any of your peers, professors, or clubs utilizing Canva for Campus?",Erin,False,True,interviewer
26,Erin,,"I know that a few organizations used an upper level of Canva, but I'm not sure if that was directly related to the Canva for Campus plan.",Erin,True,False,interviewee
27,Danielle,,"What would convince you to come back to using Canva in the future? Or why might you come back, if you foresee it happening?",Erin,False,True,interviewer
28,Erin,,"Right now there’s just not a need for me to use an application like Canva, because I’m not creating high-level graphics or documents that require design elements like icons or photographs. If I ever needed something that required more design, I might return to Canva.",Erin,True,False,interviewee
29,Danielle,,"Great. Is there anything else you'd like to touch on in terms of difficulties you find, or about the transition from college to newly graduated life?",Erin,False,True,interviewer
30,Erin,,"Not particularly, no.",Erin,True,False,interviewee
31,Danielle,,"Okay, great. Thanks.",Erin,False,True,interviewer
1,Frank,,Let's get started. How long have you been using Canva?,Michelle,False,True,interviewer
2,Michelle,,I started using Canva as a freshman in high school. That's probably year 5 or year 6 now.,Michelle,True,False,interviewee
3,Frank,,How were you introduced to Canva?,Michelle,False,True,interviewer
4,Michelle,,"I was in student council in high school, and they told me I had to make a flyer for the first time as a freshman. I needed to find out how to make flyers, and then I realized Canva existed. It was probably other students or a teacher who told me. I didn't have Canva Pro at that point.",Michelle,True,False,interviewee
5,Frank,,When did you get Canva Pro?,Michelle,False,True,interviewer
6,Michelle,,"I was a sophomore or a junior when my student council advisor, the student activities manager, figured out that you could do a classroom. She gave all of us the Canva code so we could be on her classroom.",Michelle,True,False,interviewee
7,Frank,,How frequent would you say your use for Canva is?,Michelle,False,True,interviewer
8,Michelle,,"In different stages of my life, it's been different. My junior year, I was secretary for student council, and all I did was make flyers, so I made more than one every week. Now I make about one or two flyers a week.",Michelle,True,False,interviewee
9,Frank,,What's your major? Do you do any design-related stuff?,Michelle,False,True,interviewer
10,Michelle,,"No, my major's Economics and Global Affairs.",Michelle,True,False,interviewee
11,Frank,,"So when you go to the professional world, you probably wouldn't be looking at roles like social media manager or design-heavy positions?",Michelle,False,True,interviewer
12,Michelle,,Probably not.,Michelle,True,False,interviewee
13,Frank,,"When you used Canva before to make those flyers, what drove you to use Canva? What made you stay?",Michelle,False,True,interviewer
14,Michelle,,"I'm not a graphic design person. Those people gravitate towards Adobe or Creative Cloud. For me, with no experience, that's too technical. Canva is great because you can get somewhat technical with experience—background remover and other features—but it's still user-friendly. I just play around with it, and that's all the training I need.",Michelle,True,False,interviewee
15,Frank,,Do you see yourself using Canva more or less in the future?,Michelle,False,True,interviewer
16,Michelle,,"I really like nonprofits, and they use it a lot even if you're not a design person. For example, I interned with my El Paso Community Foundation two summers ago. I didn't go in for graphic design, but when they found out I could make a flyer, that's all I was doing. It's not my experience or interest, but it comes with the kind of work I'm interested in—nonprofit work or smaller local organizations.",Michelle,True,False,interviewee
17,Frank,,"So the biggest value Canva provides you is that it's easy to use, and since you're not a graphic design-type person, you can still make things look good and aesthetic?",Michelle,False,True,interviewer
18,Michelle,,"Yes. I also like how many pre-made designs they have. There's no barrier to entry. Once you get more familiar with it, you can look through designs for ideas, replicate them, and change what you want. I'm not limited to what they have but can still take ideas.",Michelle,True,False,interviewee
19,Frank,,Have you ever used any other designing software like Figma?,Michelle,False,True,interviewer
20,Michelle,,"No. I might have tried one once, and I didn't like it. I don't remember why. It must have been not as easy, and I never went back.",Michelle,True,False,interviewee
21,Frank,,"When I was using Canva, one frustration was transferring from one school account to another. I couldn't bulk copy my templates. Did that happen to you?",Michelle,False,True,interviewer
22,Michelle,,"No. I always used my Gmail because I knew my high school account would be deleted. I never used my school district account for Canva, Quizlet, or other things.",Michelle,True,False,interviewee
23,Frank,,"When you went to Yale, did you continue using your personal Gmail?",Michelle,False,True,interviewer
24,Michelle,,"For emails, I use my Yale account. For accounts not connected to other people, I use my Gmail. It keeps my Yale inbox cleaner.",Michelle,True,False,interviewee
25,Frank,,"When you're using Canva, did you have any frustrations?",Michelle,False,True,interviewer
26,Michelle,,"I haven't run into anything that frustrates me. If I wanted to transfer designs, that might be frustrating, but I've never needed to do that.",Michelle,True,False,interviewee
27,Frank,,What do you think Canva could do better? Is there a feature that could be improved or added?,Michelle,False,True,interviewer
28,Michelle,,"Maybe a training feature. I've had to mess around with things until I figured them out. Maybe they do have a training thing, and I haven't looked at it, but a crash course or option to revisit it would be helpful. For example, I didn't discover the background remover until year 3 or 4. It would have been useful to know earlier.",Michelle,True,False,interviewee
1,Navaa,,"So, first tell us a bit about yourself. Name, age, job. What do you do with your with your time?",Liv,False,True,interviewer
2,Liv,,"My name's Liv Amiri. I'm 19 years old. Oh, it's my birthday, actually. Right now, I'm unemployed. I am a student. Previously, I've been employed for a PR company, and I've also worked as a museum docent. Um, I currently am a freshman at Yale University and I do a lot of humanities stuff.",Liv,True,False,interviewee
