interviewee,role,speaker,line_number,sentence,vader_compound,vader_label,sentence_lower,mentions_canva,mentions_other_tool,professional_keywords,canva_prof_context
Lauren,interviewer,D,1,So can you first tell us a little bit about yourself?,0.0,neutral,so can you first tell us a little bit about yourself?,False,False,False,False
Lauren,interviewer,D,1,"Your name, your age, um, your job/occupation, and then what you tend to do in your free time to keep yourself busy, what you're interested in, what activities you're involved in.",0.7184,positive,"your name, your age, um, your job/occupation, and then what you tend to do in your free time to keep yourself busy, what you're interested in, what activities you're involved in.",False,False,False,False
Lauren,interviewee,Lauren,2,"Um, I'm Lauren.",0.0,neutral,"um, i'm lauren.",False,False,False,False
Lauren,interviewee,Lauren,2,I'm 19 years old.,0.0,neutral,i'm 19 years old.,False,False,False,False
Lauren,interviewee,Lauren,2,"I'm a student at Yale, and what I do in my free time, I'm a member of the acapella group the New Blue, so I do a lot of just organization and management for them.",0.5106,positive,"i'm a student at yale, and what i do in my free time, i'm a member of the acapella group the new blue, so i do a lot of just organization and management for them.",False,False,False,False
Lauren,interviewee,Lauren,2,I enjoy going on runs.,0.4939,positive,i enjoy going on runs.,False,False,False,False
Lauren,interviewee,Lauren,2,I enjoy going on walks as well.,0.6486,positive,i enjoy going on walks as well.,False,False,False,False
Lauren,interviewee,Lauren,2,Reading.,0.0,neutral,reading.,False,False,False,False
Lauren,interviewee,Lauren,2,And generally spending time outdoors.,0.0,neutral,and generally spending time outdoors.,False,False,False,False
Lauren,interviewer,D,3,Awesome.,0.6249,positive,awesome.,False,False,False,False
Lauren,interviewer,D,3,Um.,0.0,neutral,um.,False,False,False,False
Lauren,interviewer,D,3,"So my first question for you is, um, do you use Canva and what kinds of circumstances have you used it for in the past?",0.0,neutral,"so my first question for you is, um, do you use canva and what kinds of circumstances have you used it for in the past?",True,False,False,False
Lauren,interviewee,Lauren,4,"Um, I use it not often, but I have used it before.",0.0,neutral,"um, i use it not often, but i have used it before.",False,False,False,False
Lauren,interviewee,Lauren,4,I've used it usually for flyers for events.,0.0,neutral,i've used it usually for flyers for events.,False,False,False,False
Lauren,interviewee,Lauren,4,So often those are events for New Blue or for other extracurriculars.,0.0,neutral,so often those are events for new blue or for other extracurriculars.,False,False,False,False
