interviewee,role,speaker,line_number,sentence
Lauren,interviewer,D,1,So can you first tell us a little bit about yourself?
Lauren,interviewer,D,1,"Your name, your age, um, your job/occupation, and then what you tend to do in your free time to keep yourself busy, what you're interested in, what activities you're involved in."
Lauren,interviewee,Lauren,2,"Um, I'm Lauren."
Lauren,interviewee,Lauren,2,I'm 19 years old.
Lauren,interviewee,Lauren,2,"I'm a student at Yale, and what I do in my free time, I'm a member of the acapella group the New Blue, so I do a lot of just organization and management for them."
Lauren,interviewee,Lauren,2,I enjoy going on runs.
Lauren,interviewee,Lauren,2,I enjoy going on walks as well.
Lauren,interviewee,Lauren,2,Reading.
Lauren,interviewee,Lauren,2,And generally spending time outdoors.
Lauren,interviewer,D,3,Awesome.
Lauren,interviewer,D,3,Um.
Lauren,interviewer,D,3,"So my first question for you is, um, do you use Canva and what kinds of circumstances have you used it for in the past?"
Lauren,interviewee,Lauren,4,"Um, I use it not often, but I have used it before."
Lauren,interviewee,Lauren,4,I've used it usually for flyers for events.
Lauren,interviewee,Lauren,4,So often those are events for New Blue or for other extracurriculars.
Lauren,interviewee,Lauren,4,"We've also used it for—during New Blue Rush—we used it for our info packets on the members and also for like just general information, like packets and flyers for Rush."
Lauren,interviewee,Lauren,4,"I'm trying to think of… I have used it for class, for presentations."
Lauren,interviewee,Lauren,4,I think that's it.
Lauren,interviewer,D,5,Awesome.
Lauren,interviewer,D,5,"Okay, do you have Canva Pro by any chance?"
Lauren,interviewee,Lauren,6,I do not.
Lauren,interviewee,Lauren,6,I don't think?
Lauren,interviewee,Lauren,6,I know—um.
Lauren,interviewer,D,7,"And then, are you aware that Yale partners with Canva for a platform called Canva Campus where students get free Pro features?"
Lauren,interviewee,Lauren,8,I did not know that.
Lauren,interviewee,Lauren,8,No.
Lauren,interviewer,D,9,"Are you aware of Canva’s education, um, specifically education features or plans?"
Lauren,interviewee,Lauren,10,No.
Lauren,interviewer,D,11,"Um, great."
Lauren,interviewer,D,11,Okay.
Lauren,interviewer,D,11,"Um, so what is the biggest value Canva provides for you currently?"
Lauren,interviewer,D,11,Why do you use Canva?
Lauren,interviewee,Lauren,12,Um.
Lauren,interviewee,Lauren,12,"I guess it's just, like, easier to make flyers on it than it is on other websites."
Lauren,interviewee,Lauren,12,The designs are like pre-made.
Lauren,interviewee,Lauren,12,There's no need to like really download them.
Lauren,interviewee,Lauren,12,You just kind of edit them yourself.
Lauren,interviewee,Lauren,12,"Also, it's just like, um, it was easy to share the site and like to share the flyers and like edit at the same time during Rush, which was necessary."
Lauren,interviewee,Lauren,12,Um.
Lauren,interviewee,Lauren,12,"Yeah, I think also it's just, like, a matter of ease, 'cause like, you could make presentations and flyers on Google Slides, but um, usually those are like—you have to download a template and then put it in—whereas Canva has all of those kind of pre-made, which I think is nice."
Lauren,interviewer,D,13,Great.
Lauren,interviewer,D,13,"And then on the flip side, what are some reasons why maybe you would stop using Canva?"
Lauren,interviewer,D,13,Have you switched to other design tools before?
Lauren,interviewer,D,13,"If yes, which ones and why?"
Lauren,interviewee,Lauren,14,"I don't think I have, but I guess like the only reason I would stop using it is because I would no longer need it."
Lauren,interviewee,Lauren,14,"Like, um… I don't have any—like, I wouldn't… If there was like a thing I had to design, I would probably just like immediately go to Canva to do it."
Lauren,interviewee,Lauren,14,The only reason I would see myself like stopping using it for like the things I've been using it for is like just because I won't need to use it.
Lauren,interviewer,D,15,Okay.
Lauren,interviewer,D,15,"And then along that same line, what do you find are some of your current pain points when using the Canva platform?"
