interviewee,role,speaker,line_number,sentence,hf_label,hf_score,hf_compound
Lauren,interviewer,D,1,So can you first tell us a little bit about yourself?,neutral,0.9225060939788818,0.0
Lauren,interviewer,D,1,"Your name, your age, um, your job/occupation, and then what you tend to do in your free time to keep yourself busy, what you're interested in, what activities you're involved in.",neutral,0.9017406105995178,0.0
Lauren,interviewee,Lauren,2,"Um, I'm Lauren.",neutral,0.8666442036628723,0.0
Lauren,interviewee,Lauren,2,I'm 19 years old.,neutral,0.8294577598571777,0.0
Lauren,interviewee,Lauren,2,"I'm a student at Yale, and what I do in my free time, I'm a member of the acapella group the New Blue, so I do a lot of just organization and management for them.",neutral,0.8172993063926697,0.0
Lauren,interviewee,Lauren,2,I enjoy going on runs.,positive,0.9739782810211182,0.9479565620422363
Lauren,interviewee,Lauren,2,I enjoy going on walks as well.,positive,0.9385280609130859,0.8770561218261719
Lauren,interviewee,Lauren,2,Reading.,neutral,0.6337629556655884,0.0
Lauren,interviewee,Lauren,2,And generally spending time outdoors.,neutral,0.7894481420516968,0.0
Lauren,interviewer,D,3,Awesome.,positive,0.9535717368125916,0.9071434736251831
Lauren,interviewer,D,3,Um.,neutral,0.7751049399375916,0.0
Lauren,interviewer,D,3,"So my first question for you is, um, do you use Canva and what kinds of circumstances have you used it for in the past?",neutral,0.9409768581390381,0.0
Lauren,interviewee,Lauren,4,"Um, I use it not often, but I have used it before.",neutral,0.8776227831840515,0.0
Lauren,interviewee,Lauren,4,I've used it usually for flyers for events.,neutral,0.8267377614974976,0.0
Lauren,interviewee,Lauren,4,So often those are events for New Blue or for other extracurriculars.,neutral,0.8991350531578064,0.0
Lauren,interviewee,Lauren,4,"We've also used it for—during New Blue Rush—we used it for our info packets on the members and also for like just general information, like packets and flyers for Rush.",neutral,0.8512479662895203,0.0
Lauren,interviewee,Lauren,4,"I'm trying to think of… I have used it for class, for presentations.",neutral,0.8627735376358032,0.0
Lauren,interviewee,Lauren,4,I think that's it.,neutral,0.762839138507843,0.0
Lauren,interviewer,D,5,Awesome.,positive,0.9535717368125916,0.9071434736251831
Lauren,interviewer,D,5,"Okay, do you have Canva Pro by any chance?",neutral,0.9192317128181458,0.0
Lauren,interviewee,Lauren,6,I do not.,neutral,0.6735533475875854,0.0
Lauren,interviewee,Lauren,6,I don't think?,neutral,0.862518310546875,0.0
Lauren,interviewee,Lauren,6,I know—um.,neutral,0.8182841539382935,0.0
Lauren,interviewer,D,7,"And then, are you aware that Yale partners with Canva for a platform called Canva Campus where students get free Pro features?",neutral,0.8433514833450317,0.0
Lauren,interviewee,Lauren,8,I did not know that.,neutral,0.6556071043014526,0.0
Lauren,interviewee,Lauren,8,No.,neutral,0.5609904527664185,0.0
Lauren,interviewer,D,9,"Are you aware of Canva’s education, um, specifically education features or plans?",neutral,0.9445449113845825,0.0
Lauren,interviewee,Lauren,10,No.,neutral,0.5609904527664185,0.0
Lauren,interviewer,D,11,"Um, great.",positive,0.9456941485404968,0.8913882970809937
Lauren,interviewer,D,11,Okay.,neutral,0.5692517757415771,0.0
Lauren,interviewer,D,11,"Um, so what is the biggest value Canva provides for you currently?",neutral,0.7635563015937805,0.0
Lauren,interviewer,D,11,Why do you use Canva?,neutral,0.8999018669128418,0.0
Lauren,interviewee,Lauren,12,Um.,neutral,0.7751049399375916,0.0
Lauren,interviewee,Lauren,12,"I guess it's just, like, easier to make flyers on it than it is on other websites.",neutral,0.7537983059883118,0.0
Lauren,interviewee,Lauren,12,The designs are like pre-made.,neutral,0.6519160866737366,0.0
Lauren,interviewee,Lauren,12,There's no need to like really download them.,neutral,0.563406229019165,0.0
Lauren,interviewee,Lauren,12,You just kind of edit them yourself.,neutral,0.8878188729286194,0.0
Lauren,interviewee,Lauren,12,"Also, it's just like, um, it was easy to share the site and like to share the flyers and like edit at the same time during Rush, which was necessary.",positive,0.5391015410423279,0.07820308208465576
Lauren,interviewee,Lauren,12,Um.,neutral,0.7751049399375916,0.0
Lauren,interviewee,Lauren,12,"Yeah, I think also it's just, like, a matter of ease, 'cause like, you could make presentations and flyers on Google Slides, but um, usually those are like—you have to download a template and then put it in—whereas Canva has all of those kind of pre-made, which I think is nice.",positive,0.5455616116523743,0.09112322330474854
Lauren,interviewer,D,13,Great.,positive,0.8795907497406006,0.7591814994812012
Lauren,interviewer,D,13,"And then on the flip side, what are some reasons why maybe you would stop using Canva?",neutral,0.697137713432312,0.0
Lauren,interviewer,D,13,Have you switched to other design tools before?,neutral,0.9205387234687805,0.0
Lauren,interviewer,D,13,"If yes, which ones and why?",neutral,0.9132046103477478,0.0
Lauren,interviewee,Lauren,14,"I don't think I have, but I guess like the only reason I would stop using it is because I would no longer need it.",neutral,0.5261338949203491,0.0
Lauren,interviewee,Lauren,14,"Like, um… I don't have any—like, I wouldn't… If there was like a thing I had to design, I would probably just like immediately go to Canva to do it.",neutral,0.6352787613868713,0.0
Lauren,interviewee,Lauren,14,The only reason I would see myself like stopping using it for like the things I've been using it for is like just because I won't need to use it.,neutral,0.569848358631134,0.0
Lauren,interviewer,D,15,Okay.,neutral,0.5692517757415771,0.0
Lauren,interviewer,D,15,"And then along that same line, what do you find are some of your current pain points when using the Canva platform?",neutral,0.6772966980934143,0.0
Lauren,interviewee,Lauren,16,Um… hmm.,neutral,0.8871281147003174,0.0
Lauren,interviewee,Lauren,16,I think sometimes like editing it can be a little finicky.,neutral,0.5082010626792908,0.0
Lauren,interviewee,Lauren,16,"Like, like it's not always easy to edit sometimes—like editing certain things.",negative,0.576082706451416,-0.15216541290283203
Lauren,interviewee,Lauren,16,"Like, or the fact that you need Pro to do other things when you don't have it, which is like, I guess, on me for not getting it, but I don't want to buy it.",negative,0.767735481262207,-0.5354709625244141
Lauren,interviewee,Lauren,16,"And at least at the beginning, it was a learning curve to share it and like figure out where to locate shared documents or shared flyers when we were like collaborating on documents together.",neutral,0.8363663554191589,0.0
Lauren,interviewer,D,17,I see.,neutral,0.7033473253250122,0.0
Lauren,interviewer,D,17,So what are some changes or improvements that you think Canva could make to fit your needs better?,neutral,0.6211033463478088,0.0
Lauren,interviewee,Lauren,18,I mean like… I can't think of any off the top of my head that aren't like fixable just by me myself.,negative,0.49650707840919495,0.006985843181610107
Lauren,interviewee,Lauren,18,"Like, like the sharing thing, it was like—I guess like just maybe organizationally making that easier to find on the homepage.",neutral,0.7888662219047546,0.0
Lauren,interviewee,Lauren,18,But otherwise it's like literally just me not wanting to get Pro.,negative,0.7607969045639038,-0.5215938091278076
Lauren,interviewee,Lauren,18,And so… yeah.,neutral,0.7426506876945496,0.0
Lauren,interviewer,D,19,Great.,positive,0.8795907497406006,0.7591814994812012
Lauren,interviewer,D,19,Okay.,neutral,0.5692517757415771,0.0
Lauren,interviewer,D,19,"Um, and then you're a college student now, but have you used Canva in other educational periods of your life and has your interaction and engagement with Canva changed at all?",neutral,0.9300351142883301,0.0
Lauren,interviewee,Lauren,20,"Um, yes, I have.",neutral,0.8241860866546631,0.0
Lauren,interviewee,Lauren,20,I used it in high school for similar purposes.,neutral,0.902641236782074,0.0
Lauren,interviewee,Lauren,20,"Even outside of school, I was part of a committee that was doing like organizing donations, so I used it for that, like flyers and presentations.",neutral,0.8421018123626709,0.0
Lauren,interviewee,Lauren,20,"I've used it for both of those before, outside of college.",neutral,0.8246567249298096,0.0
Lauren,interviewee,Lauren,20,But it hasn't really like—I don't think the way I've interacted with it has changed much.,negative,0.6733118891716003,-0.3466237783432007
Lauren,interviewer,D,21,"Okay, cool.",positive,0.6889756321907043,0.3779512643814087
Lauren,interviewer,D,21,"Um, are there any other kind of qualms you have, or maybe good things about Canva that you want to point out, or anything that you want to touch on that I haven't asked you about?",neutral,0.7105663418769836,0.0
Lauren,interviewee,Lauren,22,No.,neutral,0.5609904527664185,0.0
Lauren,interviewer,D,23,"Okay, great.",positive,0.9291732907295227,0.8583465814590454
Lauren,interviewer,D,23,"Thank you so much, Lauren.",positive,0.9669753909111023,0.9339507818222046
Erin,interviewer,Danielle,1,"Okay, tell us a bit about yourself.",neutral,0.8728139400482178,0.0
Erin,interviewee,Erin,2,"Yeah, I'm Erin.",neutral,0.6229122281074524,0.0
Erin,interviewee,Erin,2,I am 22 years old.,neutral,0.7713720798492432,0.0
Erin,interviewee,Erin,2,"I just recently graduated from college, and right now I'm currently working as a research assistant and I'm also studying for an entrance exam for grad school.",neutral,0.8125017285346985,0.0
Erin,interviewer,Danielle,3,Do you currently use Canva?,neutral,0.9476908445358276,0.0
Erin,interviewee,Erin,4,"I'm currently not using Canva, but I have used it in the past.",neutral,0.9063587784767151,0.0
Erin,interviewer,Danielle,5,"And when you did use Canva, did you ever use the pro plan?",neutral,0.9156296849250793,0.0
Erin,interviewee,Erin,6,"I did not, no.",neutral,0.7518505454063416,0.0
Erin,interviewer,Danielle,7,"So, can you tell me about when and why you first started using Canva and what you mainly used it for?",neutral,0.8973343372344971,0.0
Erin,interviewee,Erin,8,"Yeah, I think I mainly started using Canva in college, and it was mostly to create flyers for club events and things of that sort.",neutral,0.8739327788352966,0.0
Erin,interviewee,Erin,8,"I also remember using Canva because they had presentation templates as well, so I used Canva for some projects.",neutral,0.6843917369842529,0.0
Erin,interviewer,Danielle,9,"And when did you stop using Canva, and what changed that led you to stop using it or use it less often?",neutral,0.7148728966712952,0.0
Erin,interviewee,Erin,10,"I stopped using Canva because I graduated from school, and so there's not really a need for me to be creating flyers or club materials anymore since I'm no longer involved with those organizations.",neutral,0.5736817717552185,0.0
Erin,interviewer,Danielle,11,"When you were using Canva in college, were you aware of the Canva Education platform and its features, as well as Canva for Campus and the partnerships with universities across the U.S.?",neutral,0.8560745120048523,0.0
Erin,interviewee,Erin,12,"I have not heard of those plans, no.",neutral,0.7794216871261597,0.0
Erin,interviewer,Danielle,13,Were there any particular challenges or frustrations that made Canva harder to use or less valuable for you?,negative,0.5856903791427612,-0.17138075828552246
Erin,interviewee,Erin,14,I didn't find Canva to be particularly challenging to use.,negative,0.6819345355033875,-0.3638690710067749
Erin,interviewee,Erin,14,I found the usability of the website to be very easy and suited my needs when I needed to create a graphic quickly.,positive,0.9197395443916321,0.8394790887832642
Erin,interviewer,Danielle,15,"But if you were to point out any pain points, what would you bring up?",neutral,0.6858046650886536,0.0
Erin,interviewee,Erin,16,I think one of the pain points was when I was looking for certain graphics or icons.,negative,0.7747282981872559,-0.5494565963745117
Erin,interviewee,Erin,16,You weren’t able to sort between the Pro icons and the free plan.,neutral,0.5503770709037781,0.0
Erin,interviewee,Erin,16,"So if there was a way to filter between those two for icons, that would be helpful when looking for graphics I could actually use.",neutral,0.49348676204681396,0.0
Erin,interviewer,Danielle,17,And have you started using any other tools instead of Canva now that you’ve dropped off the platform?,neutral,0.920325517654419,0.0
Erin,interviewer,Danielle,17,"If yes, what do they offer that Canva didn’t?",neutral,0.8693512082099915,0.0
Erin,interviewee,Erin,18,I'm not using any graphic-making websites at the moment.,neutral,0.7371048331260681,0.0
Erin,interviewer,Danielle,19,"It could also be digital materials in general—presentations, resume-building websites, any platform.",neutral,0.8636305928230286,0.0
Erin,interviewee,Erin,20,"For my resume, I typically just use Word or Google Docs.",neutral,0.8479126691818237,0.0
Erin,interviewee,Erin,20,"I don’t need to be designing or adding icons, so there’s not a need for a site like Canva for that.",neutral,0.500093400478363,0.0
Erin,interviewee,Erin,20,"As for presentations or projects, I haven't had to make anything that warrants a website like Canva.",neutral,0.6563615798950195,0.0
Erin,interviewee,Erin,20,"If I need to create a presentation, I typically use PowerPoint or Google Slides.",neutral,0.7933192253112793,0.0
Erin,interviewer,Danielle,21,And can you articulate why you fall back on those platforms now that you're out of college?,neutral,0.8994943499565125,0.0
Erin,interviewee,Erin,22,I think it's mostly because it's built into what I typically use.,neutral,0.8361189365386963,0.0
Erin,interviewee,Erin,22,I’m very comfortable with Google Drive because I've used it throughout my education.,positive,0.9651578664779663,0.9303157329559326
Erin,interviewee,Erin,22,"In college, we used Microsoft applications like Word, PowerPoint, and OneDrive, so I’m comfortable with those.",positive,0.701694130897522,0.40338826179504395
Erin,interviewee,Erin,22,"Also, the people I work with on my research project use those applications too, so it's easy to collaborate since everyone already has institutional access.",positive,0.6919318437576294,0.3838636875152588
Erin,interviewer,Danielle,23,Cool.,positive,0.7078977227210999,0.4157954454421997
Erin,interviewer,Danielle,23,So what university did you graduate from?,neutral,0.961734414100647,0.0
Erin,interviewee,Erin,24,I graduated from Emory.,neutral,0.7993831038475037,0.0
Erin,interviewer,Danielle,25,"And Emory is a Canva for Campus partner, I believe.",neutral,0.8874242901802063,0.0
Erin,interviewer,Danielle,25,"Did you ever hear of any of your peers, professors, or clubs utilizing Canva for Campus?",neutral,0.9425135254859924,0.0
Erin,interviewee,Erin,26,"I know that a few organizations used an upper level of Canva, but I'm not sure if that was directly related to the Canva for Campus plan.",neutral,0.8973409533500671,0.0
Erin,interviewer,Danielle,27,What would convince you to come back to using Canva in the future?,neutral,0.69926917552948,0.0
Erin,interviewer,Danielle,27,"Or why might you come back, if you foresee it happening?",neutral,0.7303540110588074,0.0
Erin,interviewee,Erin,28,"Right now there’s just not a need for me to use an application like Canva, because I’m not creating high-level graphics or documents that require design elements like icons or photographs.",negative,0.5864866375923157,-0.17297327518463135
Erin,interviewee,Erin,28,"If I ever needed something that required more design, I might return to Canva.",neutral,0.697437584400177,0.0
Erin,interviewer,Danielle,29,Great.,positive,0.8795907497406006,0.7591814994812012
Erin,interviewer,Danielle,29,"Is there anything else you'd like to touch on in terms of difficulties you find, or about the transition from college to newly graduated life?",neutral,0.7875279188156128,0.0
Erin,interviewee,Erin,30,"Not particularly, no.",neutral,0.7576244473457336,0.0
Erin,interviewer,Danielle,31,"Okay, great.",positive,0.9291732907295227,0.8583465814590454
Erin,interviewer,Danielle,31,Thanks.,positive,0.7302910685539246,0.4605821371078491
Michelle,interviewer,Frank,1,Let's get started.,positive,0.5464385151863098,0.09287703037261963
Michelle,interviewer,Frank,1,How long have you been using Canva?,neutral,0.9412386417388916,0.0
Michelle,interviewee,Michelle,2,I started using Canva as a freshman in high school.,neutral,0.8913166522979736,0.0
Michelle,interviewee,Michelle,2,That's probably year 5 or year 6 now.,neutral,0.8685246706008911,0.0
Michelle,interviewer,Frank,3,How were you introduced to Canva?,neutral,0.8970581889152527,0.0
Michelle,interviewee,Michelle,4,"I was in student council in high school, and they told me I had to make a flyer for the first time as a freshman.",neutral,0.92454993724823,0.0
Michelle,interviewee,Michelle,4,"I needed to find out how to make flyers, and then I realized Canva existed.",neutral,0.7401254177093506,0.0
Michelle,interviewee,Michelle,4,It was probably other students or a teacher who told me.,neutral,0.8727400302886963,0.0
Michelle,interviewee,Michelle,4,I didn't have Canva Pro at that point.,neutral,0.7092602849006653,0.0
Michelle,interviewer,Frank,5,When did you get Canva Pro?,neutral,0.9282332062721252,0.0
Michelle,interviewee,Michelle,6,"I was a sophomore or a junior when my student council advisor, the student activities manager, figured out that you could do a classroom.",neutral,0.8721318244934082,0.0
Michelle,interviewee,Michelle,6,She gave all of us the Canva code so we could be on her classroom.,neutral,0.8159155249595642,0.0
Michelle,interviewer,Frank,7,How frequent would you say your use for Canva is?,neutral,0.9208434224128723,0.0
Michelle,interviewee,Michelle,8,"In different stages of my life, it's been different.",neutral,0.7911316752433777,0.0
Michelle,interviewee,Michelle,8,"My junior year, I was secretary for student council, and all I did was make flyers, so I made more than one every week.",neutral,0.7280565500259399,0.0
Michelle,interviewee,Michelle,8,Now I make about one or two flyers a week.,neutral,0.84443199634552,0.0
Michelle,interviewer,Frank,9,What's your major?,neutral,0.8487083911895752,0.0
Michelle,interviewer,Frank,9,Do you do any design-related stuff?,neutral,0.9074539542198181,0.0
Michelle,interviewee,Michelle,10,"No, my major's Economics and Global Affairs.",neutral,0.8349115252494812,0.0
Michelle,interviewer,Frank,11,"So when you go to the professional world, you probably wouldn't be looking at roles like social media manager or design-heavy positions?",neutral,0.8151911497116089,0.0
Michelle,interviewee,Michelle,12,Probably not.,neutral,0.6784133315086365,0.0
Michelle,interviewer,Frank,13,"When you used Canva before to make those flyers, what drove you to use Canva?",neutral,0.8964971303939819,0.0
Michelle,interviewer,Frank,13,What made you stay?,neutral,0.8319811224937439,0.0
Michelle,interviewee,Michelle,14,I'm not a graphic design person.,neutral,0.4815915524959564,0.0
Michelle,interviewee,Michelle,14,Those people gravitate towards Adobe or Creative Cloud.,neutral,0.7842155694961548,0.0
Michelle,interviewee,Michelle,14,"For me, with no experience, that's too technical.",negative,0.5521539449691772,-0.10430788993835449
Michelle,interviewee,Michelle,14,Canva is great because you can get somewhat technical with experience—background remover and other features—but it's still user-friendly.,positive,0.9330486059188843,0.8660972118377686
Michelle,interviewee,Michelle,14,"I just play around with it, and that's all the training I need.",neutral,0.6614254713058472,0.0
Michelle,interviewer,Frank,15,Do you see yourself using Canva more or less in the future?,neutral,0.9163023829460144,0.0
Michelle,interviewee,Michelle,16,"I really like nonprofits, and they use it a lot even if you're not a design person.",positive,0.9278338551521301,0.8556677103042603
Michelle,interviewee,Michelle,16,"For example, I interned with my El Paso Community Foundation two summers ago.",neutral,0.8659247756004333,0.0
Michelle,interviewee,Michelle,16,"I didn't go in for graphic design, but when they found out I could make a flyer, that's all I was doing.",neutral,0.7630681991577148,0.0
Michelle,interviewee,Michelle,16,"It's not my experience or interest, but it comes with the kind of work I'm interested in—nonprofit work or smaller local organizations.",neutral,0.683660089969635,0.0
Michelle,interviewer,Frank,17,"So the biggest value Canva provides you is that it's easy to use, and since you're not a graphic design-type person, you can still make things look good and aesthetic?",positive,0.8602901697158813,0.7205803394317627
Michelle,interviewee,Michelle,18,Yes.,neutral,0.5811464786529541,0.0
Michelle,interviewee,Michelle,18,I also like how many pre-made designs they have.,positive,0.930231511592865,0.86046302318573
Michelle,interviewee,Michelle,18,There's no barrier to entry.,neutral,0.8109650611877441,0.0
Michelle,interviewee,Michelle,18,"Once you get more familiar with it, you can look through designs for ideas, replicate them, and change what you want.",neutral,0.653252124786377,0.0
Michelle,interviewee,Michelle,18,I'm not limited to what they have but can still take ideas.,neutral,0.727243959903717,0.0
Michelle,interviewer,Frank,19,Have you ever used any other designing software like Figma?,neutral,0.9237699508666992,0.0
Michelle,interviewee,Michelle,20,No.,neutral,0.5609904527664185,0.0
Michelle,interviewee,Michelle,20,"I might have tried one once, and I didn't like it.",negative,0.7304302453994751,-0.4608604907989502
Michelle,interviewee,Michelle,20,I don't remember why.,neutral,0.6726951003074646,0.0
Michelle,interviewee,Michelle,20,"It must have been not as easy, and I never went back.",negative,0.8492319583892822,-0.6984639167785645
Michelle,interviewer,Frank,21,"When I was using Canva, one frustration was transferring from one school account to another.",neutral,0.6034239530563354,0.0
Michelle,interviewer,Frank,21,I couldn't bulk copy my templates.,negative,0.6747904419898987,-0.34958088397979736
Michelle,interviewer,Frank,21,Did that happen to you?,neutral,0.8433049321174622,0.0
Michelle,interviewee,Michelle,22,No.,neutral,0.5609904527664185,0.0
Michelle,interviewee,Michelle,22,I always used my Gmail because I knew my high school account would be deleted.,neutral,0.6000781059265137,0.0
Michelle,interviewee,Michelle,22,"I never used my school district account for Canva, Quizlet, or other things.",neutral,0.8072143793106079,0.0
Michelle,interviewer,Frank,23,"When you went to Yale, did you continue using your personal Gmail?",neutral,0.9252031445503235,0.0
Michelle,interviewee,Michelle,24,"For emails, I use my Yale account.",neutral,0.9093591570854187,0.0
Michelle,interviewee,Michelle,24,"For accounts not connected to other people, I use my Gmail.",neutral,0.8791576027870178,0.0
Michelle,interviewee,Michelle,24,It keeps my Yale inbox cleaner.,positive,0.7503721117973328,0.5007442235946655
Michelle,interviewer,Frank,25,"When you're using Canva, did you have any frustrations?",neutral,0.749533474445343,0.0
Michelle,interviewee,Michelle,26,I haven't run into anything that frustrates me.,neutral,0.46256330609321594,0.0
Michelle,interviewee,Michelle,26,"If I wanted to transfer designs, that might be frustrating, but I've never needed to do that.",negative,0.5701794624328613,-0.14035892486572266
Michelle,interviewer,Frank,27,What do you think Canva could do better?,neutral,0.8043359518051147,0.0
Michelle,interviewer,Frank,27,Is there a feature that could be improved or added?,neutral,0.8522887825965881,0.0
Michelle,interviewee,Michelle,28,Maybe a training feature.,neutral,0.8640576601028442,0.0
Michelle,interviewee,Michelle,28,I've had to mess around with things until I figured them out.,neutral,0.5325407385826111,0.0
Michelle,interviewee,Michelle,28,"Maybe they do have a training thing, and I haven't looked at it, but a crash course or option to revisit it would be helpful.",neutral,0.7542792558670044,0.0
Michelle,interviewee,Michelle,28,"For example, I didn't discover the background remover until year 3 or 4.",neutral,0.8317651748657227,0.0
Michelle,interviewee,Michelle,28,It would have been useful to know earlier.,neutral,0.6087290048599243,0.0
Liv,interviewer,Navaa,1,"So, first tell us a bit about yourself.",neutral,0.899898111820221,0.0
Liv,interviewer,Navaa,1,"Name, age, job.",neutral,0.8791843056678772,0.0
Liv,interviewer,Navaa,1,What do you do with your with your time?,neutral,0.9226228594779968,0.0
Liv,interviewee,Liv,2,My name's Liv Amiri.,neutral,0.838972270488739,0.0
Liv,interviewee,Liv,2,I'm 19 years old.,neutral,0.8294577598571777,0.0
Liv,interviewee,Liv,2,"Oh, it's my birthday, actually.",positive,0.8869550228118896,0.7739100456237793
Liv,interviewee,Liv,2,"Right now, I'm unemployed.",negative,0.7468748092651367,-0.49374961853027344
Liv,interviewee,Liv,2,I am a student.,neutral,0.8748804330825806,0.0
Liv,interviewee,Liv,2,"Previously, I've been employed for a PR company, and I've also worked as a museum docent.",neutral,0.8428627848625183,0.0
Liv,interviewee,Liv,2,"Um, I currently am a freshman at Yale University and I do a lot of humanities stuff.",neutral,0.876361608505249,0.0
Liv,interviewer,Navaa,3,Would you say that you are a current user of Canva or that you don't tend to use it at all?,neutral,0.8596032857894897,0.0
Liv,interviewee,Liv,4,"I would say that over the summer I used Canva and now I have stopped because there hasn't been any projects that I've worked on, but if there was a project that called for it, I would use it.",neutral,0.6083502173423767,0.0
Liv,interviewer,Navaa,5,Got it.,neutral,0.6065152287483215,0.0
Liv,interviewer,Navaa,5,"So, can you tell me about when and why you first started using Canva and what you used it for?",neutral,0.919242262840271,0.0
Liv,interviewer,Navaa,5,"Um, I started using Canva probably in the 8th grade for mostly science classes for labs.",neutral,0.8858242034912109,0.0
Liv,interviewer,Navaa,5,"Um, we would organize our lab data and everything in Canva.",neutral,0.8991994261741638,0.0
Liv,interviewer,Navaa,5,So that's how we would present it and that's how we would turn it in.,neutral,0.8975206017494202,0.0
Liv,interviewer,Navaa,5,"And then also as I got older for English and history classes, when we needed to do a poster or a kind of slideshow base thing or make a graphic.",neutral,0.8671005368232727,0.0
Liv,interviewer,Navaa,5,"We would use Canva also for clubs, for recruitment and events and stuff.",neutral,0.8965634703636169,0.0
Liv,interviewer,Navaa,6,"Okay, so it sounds like your school definitely had some version of like Canva for education subscription.",neutral,0.8394140601158142,0.0
Liv,interviewer,Navaa,6,Can you just like talk me through what specific plan your school had?,neutral,0.8425083756446838,0.0
Liv,interviewee,Liv,7,"Um, I'm not sure what specific one.",neutral,0.6431002616882324,0.0
Liv,interviewee,Liv,7,"I know that our email address allowed us to have like Canva, like a Canva premium, and also like Adobe, all the adobe tools, like Photoshop and stuff.",neutral,0.5774322152137756,0.0
Liv,interviewee,Liv,7,"Um, and like a bunch of other also film stuff, like Blender and other film editing tools.",neutral,0.8450594544410706,0.0
Liv,interviewee,Liv,7,So we got like a lot of subscriptions to different things.,neutral,0.8932493925094604,0.0
Liv,interviewee,Liv,7,"It's probably a plan through the school where just every student, like they make an agreement with the company and every student gets access through that email until they graduate.",neutral,0.9313802719116211,0.0
Liv,interviewer,Navaa,8,"And when you say you submitted things from your science classes, like on Canva, was that partnering or like through some kind of like, like cross-platform collaboration with like a learning management platform, like Schoology, canvas, stuff like that?",neutral,0.9009682536125183,0.0
Liv,interviewer,Navaa,8,Or was it directly on the canva platform?,neutral,0.9365010261535645,0.0
Liv,interviewee,Liv,9,"Um, so I would share it with the teacher on the Canva platform, but I would also often submit it in Google Classroom or our black bod program, which had like a lot of our assignments, but yeah, and then when I was working on it with other people, we would work on it in Canada and I would share it with them by email.",neutral,0.8856196403503418,0.0
Liv,interviewee,Liv,9,So it'd be through Google.,neutral,0.896876335144043,0.0
Liv,interviewer,Navaa,10,"When did you stop using Canva, and what changed that led you to stop using Canva, or use it less often?",neutral,0.7165918946266174,0.0
Liv,interviewee,Liv,11,I'd say that the most helpful thing about Canva is making it very easy to make graphics and like flyers and stuff like that.,positive,0.950508713722229,0.901017427444458
